numero_processo;ente_devedor;valor;tipo;status_pagamento;tribunal;ano_orcamento;tempo_paga;retorno_anual;score;valor_float;score_juridico;score_total
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014345-06.2001.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700457-38.2022.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0724952-17.2013.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0701056-74.2022.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0707161-54.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0705442-37.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0712340-13.2014.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0712340-13.2014.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0712340-13.2014.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0711373-21.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700150-37.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700150-37.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700155-59.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700155-59.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700224-91.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700153-89.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700171-13.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700136-53.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0039096-42.2010.8.02.0001/02;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700169-43.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700152-07.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700127-91.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700170-28.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700135-68.2023.8.02.0022;Estado de Alagoas;R$ 14.595,01;Alimentar;PI;TJAL;2025;3;0.5874;;14595.01;80;31.83
0700170-28.2023.8.02.0022;Estado de Alagoas;R$ 16.034,64;Alimentar;PI;TJAL;2025;3;0.5874;;16034.64;80;31.83
0700167-73.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0716541-43.2017.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0708984-68.2018.8.02.0001/04;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700285-49.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700129-61.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700137-38.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700275-05.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700128-76.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0801188-03.2019.8.02.0000;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700239-60.2023.8.02.0022;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0726360-43.2013.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0500054-16.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0036142-23.2010.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700609-86.2022.8.02.0050/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700162-52.2022.8.02.0033;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700162-52.2022.8.02.0033;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710631-98.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710631-98.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710631-98.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710631-98.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700413-40.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700413-40.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0711974-71.2014.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0716374-31.2014.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0711186-23.2015.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0005032-89.1999.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0725223-16.2019.8.02.0001/0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710347-22.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0706894-92.2015.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;4;0.4142;;23358.06;80;0.0
0706894-92.2015.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;4;0.4142;;23358.06;80;0.0
0700095-02.2023.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700095-02.2023.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700095-02.2023.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700095-02.2023.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0706115-74.2014.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0724308-69.2016.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0701795-59.2022.8.02.0046;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0042022-93.2010.8.02.0001/02;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0725223-16.2019.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0013021-15.2000.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0013021-15.2000.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0716355-83.2018.8.02.0001/04;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.20138.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.20138.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.20138.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.20138.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.2013.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.2013.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722012-79.2013.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0708386-17.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0728841-66.2019.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700300-76.2022.8.02.0014;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700300-76.2022.8.02.0014;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0015494-76.1997.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0727968-03.2018.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0701034-16.2022.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0802784-22.2019.8.02.0000;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0709588-97.2026.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0708121-78.2019.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0702694-32.2021.8.02.0001;Estado de Alagoas;R$ 21.948,02;Alimentar;PI;TJAL;2025;4;0.4142;;21948.02;80;0.0
0704019-52.2015.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0704019-52.2015.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0014765-06.2004.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0024049-62.2009.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700742-31.2022.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700742-31.2022.8.02.0050;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0730533-03.2019.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;4;0.4142;;23358.06;80;0.0
0725223-16.2019.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0725494-98.2014.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0710427-93.2014.8.02.0001/01;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0710426-11.2014.8.02.0001/02;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
070454429.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0705376-33.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0000005-80.2018.8.02.0027;Estado de Alagoas;R$ 23.120,79;Alimentar;PI;TJAL;2025;2;1.0;;23120.79;80;80.0
0717619-09.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0717619-09.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0052809-55.2008.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0713650-15.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0705897-12.2015.8.02.0001/02;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700280-95.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0722061-47.2018.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0701961-66.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710176-31.2021.8.02.0001;Estado de Alagoas;R$ 14.200,71;Alimentar;PI;TJAL;2025;3;0.5874;;14200.71;80;31.83
0701960-81.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0710614-57.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0097261-53.2008.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0711681-46.2022.8.02.0058;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0700514-77.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0728657-76.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0714082-92.2022.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0702348-57.2016.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0700775-63.2022.8.02.0036;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;2;1.0;;23358.06;80;80.0
0700775-63.2022.8.02.0036;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0700348-45.2020.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
0727613-85.2021.8.02.0001;Estado de Alagoas;R$ 23.358,06;Alimentar;PI;TJAL;2025;3;0.5874;;23358.06;80;31.83
